"","data_grid","variable","value","model","gridcell","lat","lon"
"146",5,"sw",39.4222719240082,"WangMao",338,67.2631607055664,82.5
"147",5,"gpp",0.451172652510412,"WECANN",338,67.2631607055664,82.5
"148",5,"et",256.575893677445,"FLUXCOM",338,67.2631607055664,82.5
"149",5,"et",233.737600220655,"GBAF",338,67.2631607055664,82.5
"150",5,"fsa",64.554278870958,"CERES",338,67.2631607055664,82.5
"151",5,"gpp",0.425719755002305,"GBAF",338,67.2631607055664,82.5
"152",5,"sh",13.6362989667344,"GBAF",338,67.2631607055664,82.5
"153",5,"lai",0.458229756960121,"AVHRR",338,67.2631607055664,82.5
"154",5,"rn",20.6256803195311,"CLASS",338,67.2631607055664,82.5
"155",5,"fire",284.160031408859,"CERES",338,67.2631607055664,82.5
"156",5,"fire",281.380913851432,"GEWEX",338,67.2631607055664,82.5
"157",5,"et",232.227824514366,"WECANN",338,67.2631607055664,82.5
"158",5,"rn",43.5487300014641,"GEWEX",338,67.2631607055664,82.5
"159",5,"fsr",29.6907581201209,"GEWEX",338,67.2631607055664,82.5
"160",5,"lai",0.463553919823885,"AVH15C1",338,67.2631607055664,82.5
"161",5,"lai",0.673716894023154,"MODIS",338,67.2631607055664,82.5
"162",5,"et",177.569724022746,"CLASS",338,67.2631607055664,82.5
"163",5,"sh",1.26384907615294,"CLASS",338,67.2631607055664,82.5
"164",5,"ef",0.56809628202043,"WECANN",338,67.2631607055664,82.5
"165",5,"mrro",0.798974957660933,"CLASS",338,67.2631607055664,82.5
"166",5,"et",192.782598523149,"DOLCE",338,67.2631607055664,82.5
"167",5,"gpp",0.180901143010367,"FLUXCOM",338,67.2631607055664,82.5
"168",5,"rn",26.7574542356169,"CERES",338,67.2631607055664,82.5
"169",5,"albedo",0.376774552144008,"CERES",338,67.2631607055664,82.5
"170",5,"ef",0.576630140949723,"GBAF",338,67.2631607055664,82.5
"171",5,"mrro",1.02596221938704,"LORA",338,67.2631607055664,82.5
"172",5,"ef",NA,"CLASS",338,67.2631607055664,82.5
"173",5,"ef",0.494106033013321,"FLUXCOM",338,67.2631607055664,82.5
"174",5,"fsa",71.2800423603696,"GEWEX",338,67.2631607055664,82.5
"175",5,"gr",5.28508373495818,"CLASS",338,67.2631607055664,82.5
"176",5,"fsr",35.3518458038601,"CERES",338,67.2631607055664,82.5
"177",5,"rlns",-37.7968244422669,"CERES",338,67.2631607055664,82.5
"178",5,"rlns",-28.2604160303032,"GEWEX",338,67.2631607055664,82.5
"179",5,"sh",14.00880267882,"WECANN",338,67.2631607055664,82.5
"180",5,"sh",20.8228870768887,"FLUXCOM",338,67.2631607055664,82.5
"181",6,"sh",26.0758293053885,"GBAF",196,38.8421058654785,-90
"182",6,"rn",95.0967853201252,"CERES",196,38.8421058654785,-90
"183",6,"ef",0.725242076609102,"CLASS",196,38.8421058654785,-90
"184",6,"ef",0.706290829155343,"FLUXCOM",196,38.8421058654785,-90
"185",6,"gr",-0.899017467200463,"CLASS",196,38.8421058654785,-90
"186",6,"gpp",1.33871457023983,"WECANN",196,38.8421058654785,-90
"187",6,"fire",389.555802201223,"GEWEX",196,38.8421058654785,-90
"188",6,"ef",0.696524783710944,"WECANN",196,38.8421058654785,-90
"189",6,"sh",26.2834199059007,"WECANN",196,38.8421058654785,-90
"190",6,"fsr",27.6449494617279,"CERES",196,38.8421058654785,-90
"191",6,"gpp",1.14952334102277,"FLUXCOM",196,38.8421058654785,-90
"192",6,"lai",1.43053193669919,"AVHRR",196,38.8421058654785,-90
"193",6,"rlns",-49.3219982671868,"CERES",196,38.8421058654785,-90
"194",6,"lai",1.28746287772587,"AVH15C1",196,38.8421058654785,-90
"195",6,"sw",31.3197477284085,"WangMao",196,38.8421058654785,-90
"196",6,"rn",98.0009937011161,"GEWEX",196,38.8421058654785,-90
"197",6,"rn",72.1581501103644,"CLASS",196,38.8421058654785,-90
"198",6,"et",634.209245029468,"DOLCE",196,38.8421058654785,-90
"199",6,"et",639.170899295471,"GBAF",196,38.8421058654785,-90
"200",6,"albedo",0.115037009641868,"GEWEX",196,38.8421058654785,-90
"201",6,"lai",1.51732945583046,"MODIS",196,38.8421058654785,-90
"202",6,"et",668.309017822943,"CLASS",196,38.8421058654785,-90
"203",6,"fire",376.302072957914,"CERES",196,38.8421058654785,-90
"204",6,"mrro",1.16106260491373,"CLASS",196,38.8421058654785,-90
"205",6,"et",761.316833441867,"WECANN",196,38.8421058654785,-90
"206",6,"mrro",1.06631006545711,"LORA",196,38.8421058654785,-90
"207",6,"rlns",-55.7159517972763,"GEWEX",196,38.8421058654785,-90
"208",6,"albedo",0.17464930224024,"CERES",196,38.8421058654785,-90
"209",6,"fsa",144.418783704784,"CERES",196,38.8421058654785,-90
"210",6,"fsa",153.716945325599,"GEWEX",196,38.8421058654785,-90
"211",6,"et",732.336491910666,"FLUXCOM",196,38.8421058654785,-90
"212",6,"fsr",19.8950684784972,"GEWEX",196,38.8421058654785,-90
"213",6,"ef",0.659813512071882,"GBAF",196,38.8421058654785,-90
"214",6,"sh",24.1408307173495,"FLUXCOM",196,38.8421058654785,-90
"215",6,"gpp",1.21144351049187,"GBAF",196,38.8421058654785,-90
"216",6,"sh",20.0773176118677,"CLASS",196,38.8421058654785,-90
"217",7,"gr",0.449512595410982,"CLASS",41,-19.8947372436523,17.5
"218",7,"et",518.599995753261,"WECANN",41,-19.8947372436523,17.5
"219",7,"albedo",0.186561676849876,"GEWEX",41,-19.8947372436523,17.5
"220",7,"sw",17.9182220482922,"WangMao",41,-19.8947372436523,17.5
"221",7,"rn",80.2770367998329,"GEWEX",41,-19.8947372436523,17.5
"222",7,"gpp",0.853870339283684,"WECANN",41,-19.8947372436523,17.5
"223",7,"et",422.720236931945,"CLASS",41,-19.8947372436523,17.5
"224",7,"lai",0.754854411888721,"AVH15C1",41,-19.8947372436523,17.5
"225",7,"lai",0.591611764629682,"MODIS",41,-19.8947372436523,17.5
"226",7,"fsa",209.261425099366,"GEWEX",41,-19.8947372436523,17.5
"227",7,"lai",0.767758125543957,"AVHRR",41,-19.8947372436523,17.5
"228",7,"rn",115.94194557392,"CERES",41,-19.8947372436523,17.5
"229",7,"fsa",213.421017442956,"CERES",41,-19.8947372436523,17.5
"230",7,"rlns",-128.984387236759,"GEWEX",41,-19.8947372436523,17.5
"231",7,"rlns",-97.4790717271779,"CERES",41,-19.8947372436523,17.5
"232",7,"rn",97.8568966288109,"CLASS",41,-19.8947372436523,17.5
"233",7,"fire",442.133464720007,"CERES",41,-19.8947372436523,17.5
"234",7,"sh",61.5556282787236,"GBAF",41,-19.8947372436523,17.5
"235",7,"mrro",0.0226754727854432,"LORA",41,-19.8947372436523,17.5
"236",7,"gpp",0.498209659312377,"FLUXCOM",41,-19.8947372436523,17.5
"237",7,"ef",0.433713253976238,"WECANN",41,-19.8947372436523,17.5
"238",7,"mrro",0.0273125655678412,"CLASS",41,-19.8947372436523,17.5
"239",7,"fire",464.874705500262,"GEWEX",41,-19.8947372436523,17.5
"240",7,"sh",66.9009110571446,"FLUXCOM",41,-19.8947372436523,17.5
"241",7,"fsr",47.8745815115686,"GEWEX",41,-19.8947372436523,17.5
"242",7,"ef",0.343320734453531,"CLASS",41,-19.8947372436523,17.5
"243",7,"gpp",0.617237094531973,"GBAF",41,-19.8947372436523,17.5
"244",7,"et",434.585023315796,"DOLCE",41,-19.8947372436523,17.5
"245",7,"ef",0.365973931772903,"FLUXCOM",41,-19.8947372436523,17.5
"246",7,"sh",63.8964571529023,"CLASS",41,-19.8947372436523,17.5
"247",7,"et",487.801789071492,"FLUXCOM",41,-19.8947372436523,17.5
"248",7,"et",469.314266823853,"GBAF",41,-19.8947372436523,17.5
"249",7,"albedo",0.16614610222921,"CERES",41,-19.8947372436523,17.5
"250",7,"ef",0.375682931631582,"GBAF",41,-19.8947372436523,17.5
"251",7,"fsr",40.1018125783842,"CERES",41,-19.8947372436523,17.5
"252",7,"sh",53.5999425869485,"WECANN",41,-19.8947372436523,17.5
"253",8,"gpp",0.799062053532756,"FLUXCOM",248,52.1052627563477,25
"254",8,"ef",0.686795818099661,"WECANN",248,52.1052627563477,25
"255",8,"rn",62.1017215453544,"CERES",248,52.1052627563477,25
"256",8,"et",507.265488641108,"WECANN",248,52.1052627563477,25
"257",8,"fsa",103.787470527893,"GEWEX",248,52.1052627563477,25
"258",8,"albedo",0.206710173138609,"CERES",248,52.1052627563477,25
"259",8,"sh",17.6043512918075,"GBAF",248,52.1052627563477,25
"260",8,"fire",350.817254783596,"GEWEX",248,52.1052627563477,25
"261",8,"lai",1.2292756883486,"AVH15C1",248,52.1052627563477,25
"262",8,"albedo",0.202770392153543,"GEWEX",248,52.1052627563477,25
"263",8,"fsr",21.4125297101484,"GEWEX",248,52.1052627563477,25
"264",8,"mrro",0.171403428209821,"LORA",248,52.1052627563477,25
"265",8,"gr",0.0386069802268489,"CLASS",248,52.1052627563477,25
"266",8,"gpp",1.05258443457669,"WECANN",248,52.1052627563477,25
"267",8,"rlns",-42.2043122093166,"CERES",248,52.1052627563477,25
"268",8,"rn",43.5120052279751,"CLASS",248,52.1052627563477,25
"269",8,"et",495.46137025243,"FLUXCOM",248,52.1052627563477,25
"270",8,"ef",0.893972968721981,"CLASS",248,52.1052627563477,25
"271",8,"rlns",-46.7867578440859,"GEWEX",248,52.1052627563477,25
"272",8,"fsr",22.9431703907605,"CERES",248,52.1052627563477,25
"273",8,"sh",18.3410448533332,"WECANN",248,52.1052627563477,25
"274",8,"ef",0.688590046020395,"FLUXCOM",248,52.1052627563477,25
"275",8,"mrro",0.163879102733634,"CLASS",248,52.1052627563477,25
"276",8,"lai",1.46910366140544,"MODIS",248,52.1052627563477,25
"277",8,"sh",17.8041233745153,"FLUXCOM",248,52.1052627563477,25
"278",8,"lai",1.51063263877614,"AVHRR",248,52.1052627563477,25
"279",8,"et",490.249414723589,"CLASS",248,52.1052627563477,25
"280",8,"fsa",104.306033749062,"CERES",248,52.1052627563477,25
"281",8,"gpp",1.20985665671981,"GBAF",248,52.1052627563477,25
"282",8,"fire",349.485407858653,"CERES",248,52.1052627563477,25
"283",8,"rn",57.000712869258,"GEWEX",248,52.1052627563477,25
"284",8,"sw",27.3573197916398,"WangMao",248,52.1052627563477,25
"285",8,"et",497.587065521141,"GBAF",248,52.1052627563477,25
"286",8,"sh",4.60913087545539,"CLASS",248,52.1052627563477,25
"287",8,"ef",0.691697847571065,"GBAF",248,52.1052627563477,25
"288",8,"et",423.671667043806,"DOLCE",248,52.1052627563477,25
"289",9,"gpp",0.0866441424208836,"FLUXCOM",225,46.4210510253906,110
"290",9,"lai",0.261604371237671,"AVHRR",225,46.4210510253906,110
"291",9,"et",146.19976312592,"DOLCE",225,46.4210510253906,110
"292",9,"sh",31.8110337638821,"CLASS",225,46.4210510253906,110
"293",9,"rn",53.8199471540059,"CERES",225,46.4210510253906,110
"294",9,"lai",0.163983435391025,"AVH15C1",225,46.4210510253906,110
"295",9,"ef",0.301171968151901,"WECANN",225,46.4210510253906,110
"296",9,"lai",0.137458586474268,"MODIS",225,46.4210510253906,110
"297",9,"fsr",44.5101460856608,"GEWEX",225,46.4210510253906,110
"298",9,"sh",35.9271419242361,"GBAF",225,46.4210510253906,110
"299",9,"et",115.558565770207,"CLASS",225,46.4210510253906,110
"300",9,"gpp",0.0267378011661923,"GBAF",225,46.4210510253906,110
"301",9,"et",195.996219052495,"WECANN",225,46.4210510253906,110
"302",9,"fire",347.906541090317,"GEWEX",225,46.4210510253906,110
"303",9,"sh",35.9747567193462,"WECANN",225,46.4210510253906,110
"304",9,"ef",0.256117711461567,"GBAF",225,46.4210510253906,110
"305",9,"albedo",0.278959162526479,"CERES",225,46.4210510253906,110
"306",9,"et",226.701027953015,"FLUXCOM",225,46.4210510253906,110
"307",9,"albedo",0.261964729561653,"GEWEX",225,46.4210510253906,110
"308",9,"rn",41.6306880856148,"CLASS",225,46.4210510253906,110
"309",9,"gr",0.658809030912038,"CLASS",225,46.4210510253906,110
"310",9,"rlns",-80.3754949017529,"GEWEX",225,46.4210510253906,110
"311",9,"gpp",0.269075232478122,"WECANN",225,46.4210510253906,110
"312",9,"fsr",48.3024873088157,"CERES",225,46.4210510253906,110
"313",9,"mrro",0.00976668932987586,"LORA",225,46.4210510253906,110
"314",9,"sw",16.8721806217726,"WangMao",225,46.4210510253906,110
"315",9,"ef",0.320736792137619,"FLUXCOM",225,46.4210510253906,110
"316",9,"ef",0.223018756959084,"CLASS",225,46.4210510253906,110
"317",9,"fsa",141.882704879761,"CERES",225,46.4210510253906,110
"318",9,"sh",37.9825156611492,"FLUXCOM",225,46.4210510253906,110
"319",9,"rlns",-88.0627569659507,"CERES",225,46.4210510253906,110
"320",9,"mrro",0.00808161530388992,"CLASS",225,46.4210510253906,110
"321",9,"rn",53.8396381284113,"GEWEX",225,46.4210510253906,110
