,pct_veg,gridcell,pft,biome
7,8.889165145660883,12,broadleaf_deciduous_temperate_tree,7.0
8,0.0,12,broadleaf_deciduous_boreal_tree,7.0
9,0.0,12,broadleaf_evergreen_shrub,7.0
10,18.472852376078873,12,broadleaf_deciduous_temperate_shrub,7.0
11,0.0,12,broadleaf_deciduous_boreal_shrub,7.0
12,0.0,12,c3_arctic_grass,7.0
13,33.52614349057542,12,c3_non-arctic_grass,7.0
14,1.8548110666414426,12,c4_grass,7.0
15,24.948086836852653,12,c3_crop,7.0
16,0.0,12,c3_irrigated,7.0
0,7.159449147113887,13,not_vegetated,3.0
1,0.0,13,needleleaf_evergreen_temperate_tree,3.0
2,0.0,13,needleleaf_evergreen_boreal_tree,3.0
3,0.0,13,needleleaf_deciduous_boreal_tree,3.0
4,0.0,13,broadleaf_evergreen_tropical_tree,3.0
5,11.300890214885653,13,broadleaf_evergreen_temperate_tree,3.0
6,0.0,13,broadleaf_deciduous_tropical_tree,3.0
7,13.982893799916683,13,broadleaf_deciduous_temperate_tree,3.0
8,0.0,13,broadleaf_deciduous_boreal_tree,3.0
9,0.0,13,broadleaf_evergreen_shrub,3.0
10,14.65160164899938,13,broadleaf_deciduous_temperate_shrub,3.0
11,0.0,13,broadleaf_deciduous_boreal_shrub,3.0
12,0.0,13,c3_arctic_grass,3.0
13,52.87771984553344,13,c3_non-arctic_grass,3.0
14,0.027445343550391403,13,c4_grass,3.0
15,0.0,13,c3_crop,3.0
16,0.0,13,c3_irrigated,3.0
0,10.09737791083091,14,not_vegetated,3.0
1,0.0,14,needleleaf_evergreen_temperate_tree,3.0
2,0.0,14,needleleaf_evergreen_boreal_tree,3.0
3,0.0,14,needleleaf_deciduous_boreal_tree,3.0
4,0.0,14,broadleaf_evergreen_tropical_tree,3.0
5,4.747658650545253,14,broadleaf_evergreen_temperate_tree,3.0
6,0.0,14,broadleaf_deciduous_tropical_tree,3.0
7,1.8687326465530034,14,broadleaf_deciduous_temperate_tree,3.0
8,0.0,14,broadleaf_deciduous_boreal_tree,3.0
9,0.0,14,broadleaf_evergreen_shrub,3.0
10,38.480866105438096,14,broadleaf_deciduous_temperate_shrub,3.0
11,0.0,14,broadleaf_deciduous_boreal_shrub,3.0
12,0.0,14,c3_arctic_grass,3.0
13,11.039999680011194,14,c3_non-arctic_grass,3.0
14,18.46355565869557,14,c4_grass,3.0
15,14.807482806665497,14,c3_crop,3.0
16,0.49432654126049036,14,c3_irrigated,3.0
0,36.689739687780765,15,not_vegetated,6.0
1,0.0,15,needleleaf_evergreen_temperate_tree,6.0
2,0.0,15,needleleaf_evergreen_boreal_tree,6.0
3,0.0,15,needleleaf_deciduous_boreal_tree,6.0
4,0.0,15,broadleaf_evergreen_tropical_tree,6.0
5,4.030540914621843,15,broadleaf_evergreen_temperate_tree,6.0
6,0.0,15,broadleaf_deciduous_tropical_tree,6.0
7,3.562224524898543,15,broadleaf_deciduous_temperate_tree,6.0
8,0.47787802671777757,15,broadleaf_deciduous_boreal_tree,6.0
9,0.25212263328051726,15,broadleaf_evergreen_shrub,6.0
10,14.09438363541727,15,broadleaf_deciduous_temperate_shrub,6.0
11,2.8919998768793804,15,broadleaf_deciduous_boreal_shrub,6.0
12,9.223984353236956,15,c3_arctic_grass,6.0
13,19.28366533113521,15,c3_non-arctic_grass,6.0
14,0.2397664314065777,15,c4_grass,6.0
15,3.7155106374831703,15,c3_crop,6.0
16,1.505399319190826,15,c3_irrigated,6.0
0,0.04257140376667411,16,not_vegetated,5.0
1,0.0,16,needleleaf_evergreen_temperate_tree,5.0
2,0.0,16,needleleaf_evergreen_boreal_tree,5.0
3,0.0,16,needleleaf_deciduous_boreal_tree,5.0
4,0.0,16,broadleaf_evergreen_tropical_tree,5.0
5,11.046523844092018,16,broadleaf_evergreen_temperate_tree,5.0
6,0.0,16,broadleaf_deciduous_tropical_tree,5.0
7,0.4257151861738875,16,broadleaf_deciduous_temperate_tree,5.0
8,0.0,16,broadleaf_deciduous_boreal_tree,5.0
9,0.0,16,broadleaf_evergreen_shrub,5.0
10,0.0024199557925381286,16,broadleaf_deciduous_temperate_shrub,5.0
11,0.0,16,broadleaf_deciduous_boreal_shrub,5.0
12,0.0,16,c3_arctic_grass,5.0
13,62.888192727065125,16,c3_non-arctic_grass,5.0
14,18.421336798089612,16,c4_grass,5.0
15,3.7056122734535624,16,c3_crop,5.0
16,1.4676283852634893,16,c3_irrigated,5.0
0,39.64932015829105,17,not_vegetated,3.0
1,0.0,17,needleleaf_evergreen_temperate_tree,3.0
2,0.0,17,needleleaf_evergreen_boreal_tree,3.0
3,0.0,17,needleleaf_deciduous_boreal_tree,3.0
4,0.0,17,broadleaf_evergreen_tropical_tree,3.0
5,0.5794546602356903,17,broadleaf_evergreen_temperate_tree,3.0
6,0.0,17,broadleaf_deciduous_tropical_tree,3.0
7,0.09099620704054834,17,broadleaf_deciduous_temperate_tree,3.0
8,0.0,17,broadleaf_deciduous_boreal_tree,3.0
9,0.0,17,broadleaf_evergreen_shrub,3.0
10,39.718861055875394,17,broadleaf_deciduous_temperate_shrub,3.0
11,0.0,17,broadleaf_deciduous_boreal_shrub,3.0
12,0.0,17,c3_arctic_grass,3.0
13,9.948988651124536,17,c3_non-arctic_grass,3.0
14,9.969812376225525,17,c4_grass,3.0
15,0.017330990090904663,17,c3_crop,3.0
16,0.025235840851977942,17,c3_irrigated,3.0
0,28.336368784649217,18,not_vegetated,3.0
1,0.0,18,needleleaf_evergreen_temperate_tree,3.0
2,0.0,18,needleleaf_evergreen_boreal_tree,3.0
3,0.0,18,needleleaf_deciduous_boreal_tree,3.0
4,0.0,18,broadleaf_evergreen_tropical_tree,3.0
5,0.8564143858310866,18,broadleaf_evergreen_temperate_tree,3.0
6,0.0,18,broadleaf_deciduous_tropical_tree,3.0
7,0.05782468247268868,18,broadleaf_deciduous_temperate_tree,3.0
8,0.0,18,broadleaf_deciduous_boreal_tree,3.0
